index,fscore
Age,1131
IMG_SVD_21,523
metadata_annots_score_MEAN,511
IMG_SVD_24,505
IMG_SVD_11,500
IMG_SVD_25,497
Breed1,494
IMG_SVD_23,489
metadata_color_score_MEAN,489
IMG_SVD_27,482
TFIDF_metadata_annots_top_desc_2,474
IMG_SVD_2,473
IMG_SVD_6,462
IMG_SVD_26,462
IMG_SVD_15,462
IMG_SVD_29,461
IMG_SVD_17,459
IMG_SVD_31,457
IMG_SVD_10,455
IMG_SVD_14,451
IMG_SVD_20,451
IMG_SVD_18,450
IMG_SVD_12,448
IMG_SVD_13,445
metadata_color_pixelfrac_MEAN,444
IMG_SVD_16,443
TFIDF_Description_8,442
TFIDF_metadata_annots_top_desc_15,441
TFIDF_metadata_annots_top_desc_9,441
TFIDF_sentiment_entities_14,435
IMG_SVD_28,435
IMG_SVD_22,435
TFIDF_metadata_annots_top_desc_11,430
TFIDF_metadata_annots_top_desc_13,427
IMG_SVD_8,426
TFIDF_metadata_annots_top_desc_14,426
IMG_SVD_30,419
IMG_SVD_19,418
TFIDF_Description_0,414
TFIDF_metadata_annots_top_desc_7,413
IMG_SVD_9,411
TFIDF_Description_10,409
IMG_SVD_7,407
TFIDF_Description_14,407
TFIDF_Description_9,404
TFIDF_metadata_annots_top_desc_8,403
sentiment_magnitude,401
IMG_SVD_4,398
TFIDF_metadata_annots_top_desc_12,395
IMG_SVD_3,395
IMG_SVD_5,391
metadata_annots_score_VAR,391
TFIDF_sentiment_entities_15,390
IMG_SVD_0,390
TFIDF_Description_2,384
TFIDF_metadata_annots_top_desc_3,383
TFIDF_Description_1,382
TFIDF_metadata_annots_top_desc_4,379
TFIDF_Description_13,376
TFIDF_metadata_annots_top_desc_5,370
TFIDF_Description_5,370
IMG_SVD_1,368
TFIDF_Description_15,365
TFIDF_sentiment_entities_8,362
TFIDF_Description_3,357
TFIDF_Description_12,353
metadata_color_pixelfrac_VAR,352
TFIDF_sentiment_entities_13,351
TFIDF_Description_7,350
TFIDF_sentiment_entities_11,349
TFIDF_metadata_annots_top_desc_1,348
TFIDF_metadata_annots_top_desc_6,346
TFIDF_Description_11,346
TFIDF_sentiment_entities_6,345
TFIDF_metadata_annots_top_desc_10,342
image_size_mean,341
TFIDF_sentiment_entities_12,340
Color1,338
image_size_var,338
TFIDF_Description_4,333
TFIDF_sentiment_entities_0,331
sentiment_score_sum,328
TFIDF_Description_6,325
sentiment_magnitude_var,318
Length_Description,305
Breed2,299
TFIDF_sentiment_entities_5,295
TFIDF_sentiment_entities_7,294
Color2,290
metadata_color_score_VAR,284
TFIDF_sentiment_entities_10,284
Lengths_sentiment_entities,283
TFIDF_sentiment_entities_4,283
TFIDF_sentiment_entities_1,281
metadata_annots_score_SUM,281
metadata_color_pixelfrac_SUM,281
TFIDF_metadata_annots_top_desc_0,279
TFIDF_sentiment_entities_2,274
image_size_sum,272
Length_metadata_annots_top_desc,271
sentiment_magnitude_mean,271
sentiment_score_var,266
TFIDF_sentiment_entities_9,265
sentiment_score_mean,261
Type,251
RescuerID_COUNT,251
width_mean,244
TFIDF_sentiment_entities_3,233
metadata_color_score_SUM,231
Gender,219
sentiment_score,209
height_mean,194
PhotoAmt,188
width_sum,173
State,170
height_sum,169
Fee,157
width_var,154
MaturitySize,146
height_var,143
Vaccinated,140
Color3,132
sentiment_magnitude_sum,129
FurLength,117
Quantity,110
metadata_crop_importance_MEAN,107
Sterilized,105
main_state_HDI,91
Dewormed,78
main_state_Population,75
metadata_crop_importance_VAR,67
main_state_Total_area,55
VideoAmt,49
metadata_crop_conf_VAR,41
metadata_crop_importance_SUM,35
metadata_crop_conf_MEAN,28
metadata_crop_conf_SUM,24
second_breed_Type,21
Health,18
mixed_Breed,18
main_state_State,16
