index,fscore
Age,3035
Breed1,1711
RescuerID_COUNT,1515
metadata_annots_score_MEAN,1417
IMG_SVD_4,1143
TFIDF_Description_11,1123
IMG_SVD_19,1120
TFIDF_Description_9,1104
TFIDF_Description_12,1098
IMG_SVD_14,1078
IMG_SVD_30,1072
TFIDF_metadata_annots_top_desc_13,1060
IMG_SVD_6,1050
TFIDF_Description_0,1030
IMG_SVD_1,1029
TFIDF_Description_8,1026
TFIDF_Description_14,1020
IMG_SVD_24,1010
IMG_SVD_23,1009
TFIDF_Description_15,1005
IMG_SVD_12,1005
IMG_SVD_9,1003
IMG_SVD_5,1002
TFIDF_Description_7,992
TFIDF_Description_4,988
IMG_SVD_22,977
TFIDF_sentiment_entities_12,975
TFIDF_Description_6,968
TFIDF_metadata_annots_top_desc_3,968
TFIDF_metadata_annots_top_desc_2,962
TFIDF_Description_3,960
IMG_SVD_16,959
TFIDF_Description_13,958
metadata_color_pixelfrac_MEAN,958
IMG_SVD_20,957
IMG_SVD_27,946
IMG_SVD_13,945
IMG_SVD_18,944
metadata_color_score_MEAN,941
IMG_SVD_10,938
image_size_mean,936
IMG_SVD_0,934
TFIDF_sentiment_entities_14,933
TFIDF_Description_5,922
IMG_SVD_11,920
IMG_SVD_26,916
TFIDF_metadata_annots_top_desc_0,916
IMG_SVD_15,911
TFIDF_Description_10,909
TFIDF_metadata_annots_top_desc_12,907
TFIDF_sentiment_entities_15,901
TFIDF_Description_2,900
sentiment_magnitude,896
TFIDF_metadata_annots_top_desc_14,895
IMG_SVD_2,894
IMG_SVD_25,894
TFIDF_Description_1,887
TFIDF_metadata_annots_top_desc_10,884
TFIDF_metadata_annots_top_desc_9,881
TFIDF_metadata_annots_top_desc_11,868
IMG_SVD_29,867
TFIDF_sentiment_entities_11,865
IMG_SVD_17,865
TFIDF_metadata_annots_top_desc_7,864
IMG_SVD_21,863
TFIDF_metadata_annots_top_desc_4,859
sentiment_magnitude_mean,859
IMG_SVD_8,856
IMG_SVD_7,854
IMG_SVD_3,847
Breed2,847
TFIDF_sentiment_entities_8,846
IMG_SVD_31,843
TFIDF_sentiment_entities_13,842
IMG_SVD_28,838
TFIDF_metadata_annots_top_desc_1,836
TFIDF_metadata_annots_top_desc_6,836
metadata_annots_score_VAR,827
sentiment_magnitude_var,812
TFIDF_metadata_annots_top_desc_15,810
Length_Description,803
metadata_color_pixelfrac_VAR,800
TFIDF_sentiment_entities_6,797
TFIDF_sentiment_entities_1,789
height_mean,787
TFIDF_metadata_annots_top_desc_8,785
TFIDF_sentiment_entities_0,771
Color1,755
TFIDF_sentiment_entities_10,754
TFIDF_sentiment_entities_7,745
sentiment_score_var,737
TFIDF_metadata_annots_top_desc_5,732
TFIDF_sentiment_entities_5,728
TFIDF_sentiment_entities_9,713
TFIDF_sentiment_entities_3,702
image_size_sum,672
width_mean,672
Lengths_sentiment_entities,659
sentiment_score_sum,655
metadata_color_score_VAR,654
Color2,635
TFIDF_sentiment_entities_2,629
Length_metadata_annots_top_desc,611
metadata_annots_score_SUM,601
TFIDF_sentiment_entities_4,590
metadata_color_pixelfrac_SUM,579
image_size_var,576
Type,557
sentiment_score_mean,554
metadata_color_score_SUM,552
Gender,538
Fee,508
Quantity,481
sentiment_score,415
width_var,407
State,406
FurLength,404
height_sum,391
main_state_Population,390
height_var,384
width_sum,377
sentiment_magnitude_sum,372
Sterilized,370
MaturitySize,359
Vaccinated,355
PhotoAmt,353
Color3,304
Dewormed,275
main_state_Total_area,234
metadata_crop_importance_MEAN,197
main_state_HDI,192
metadata_crop_importance_VAR,179
Health,141
mixed_Breed,122
metadata_crop_conf_VAR,82
metadata_crop_conf_MEAN,72
metadata_crop_importance_SUM,63
VideoAmt,61
main_state_State,44
metadata_crop_conf_SUM,32
main_state_West_East,3
